"seed","N","strategy","Pr","Re","MCC","CoefL2","JacRMSE"
1,12,"random",0,0,-0.0852802865422442,3.51475249373826,0.340230063369537
1,12,"maximin",1,0.4375,0.597614304667197,3.50394979125243,0.711317167977603
1,12,"dopt",0.857142857142857,0.375,0.478091443733757,3.94040588573953,0.656460337569332
1,16,"random",0.75,0.5625,0.536719835499101,5.26714088720558,1.35238115226865
1,16,"maximin",0.833333333333333,0.3125,0.419920627420627,2.94043164709987,0.788775302699542
1,16,"dopt",1,0.3125,0.495073771488337,3.63968265869956,0.7293629078143
1,20,"random",1,0.1875,0.376177396931639,4.05564944537818,1.06380323794045
1,20,"maximin",1,0.5,0.645497224367903,3.47244349437142,0.90160589060259
1,20,"dopt",0.846153846153846,0.6875,0.682125479619647,3.51280267090656,1.23517331254548
1,30,"random",0.888888888888889,0.5,0.58426976508496,2.87819922469431,0.715232981757231
1,30,"maximin",0.88235294117647,0.9375,0.871970082650608,2.79726543272726,0.592513174243661
1,30,"dopt",0.8125,0.8125,0.7375,2.78442557907174,0.62766777243359
1,40,"random",0.866666666666667,0.8125,0.777843589937273,3.22617932978579,1.05997207099125
1,40,"maximin",0.842105263157895,1,0.882579950158088,2.78553718130531,0.522605316004365
1,40,"dopt",0.888888888888889,1,0.918936583472681,2.83109820545711,0.712914745598576
1,60,"random",0.833333333333333,0.9375,0.834297687626513,2.76226601534068,0.648596691948722
1,60,"maximin",0.941176470588235,1,0.957938964038696,2.69116290639041,0.409723035635035
1,60,"dopt",0.941176470588235,1,0.957938964038696,2.59566562368574,0.256473452009038
2,12,"random",1,0.1875,0.376177396931639,3.23838636533285,0.288265390896533
2,12,"maximin",0.6,0.1875,0.217832459454868,3.20499496721251,0.736110039786519
2,12,"dopt",0.666666666666667,0.25,0.292118697336089,2.52487039462471,0.48006663476781
2,16,"random",0,0,0,3.03270513103184,0.312208232959258
2,16,"maximin",0.666666666666667,0.375,0.369012483211554,2.86138591683233,0.774976689295691
2,16,"dopt",1,0.5,0.645497224367903,2.5840530784567,0.447435631188601
2,20,"random",1,0.3125,0.495073771488337,2.9310763529978,0.961066552091709
2,20,"maximin",0.727272727272727,0.5,0.483254957072717,3.02814118672372,0.632882969573072
2,20,"dopt",0.9,0.5625,0.634000411466058,3.44974737476629,0.701632903946883
2,30,"random",0.916666666666667,0.6875,0.729388494396214,3.21845109513251,0.911930450554349
2,30,"maximin",0.764705882352941,0.8125,0.700032319874431,2.97858396271803,0.814061482094354
2,30,"dopt",0.9375,0.9375,0.9125,2.68171146069414,0.532835042200781
2,40,"random",0.777777777777778,0.875,0.749658791780345,2.7899643795936,0.799724789532485
2,40,"maximin",0.842105263157895,1,0.882579950158088,2.88853638247273,0.734051846446101
2,40,"dopt",0.8,1,0.848528137423857,2.68342312986639,0.699816091836714
2,60,"random",0.789473684210526,0.9375,0.799092657575566,2.58480448677932,0.512772437941475
2,60,"maximin",0.941176470588235,1,0.957938964038696,2.65497742668566,0.613454823106518
2,60,"dopt",0.941176470588235,1,0.957938964038696,2.48977829488846,0.45343298925835
3,12,"random",0,0,-0.0852802865422442,3.1490410270575,0.667526241699028
3,12,"maximin",0.571428571428571,0.25,0.239045721866879,3.51556383712378,0.676221527507804
3,12,"dopt",0.777777777777778,0.4375,0.476641124148257,3.34726823853244,1.82578360680669
3,16,"random",0.875,0.4375,0.53253521010352,3.81565244814605,1.37488970845496
3,16,"maximin",0.916666666666667,0.6875,0.729388494396214,2.68424296524737,0.721179267852761
3,16,"dopt",0.75,0.5625,0.536719835499101,2.79438978451163,0.762428081653868
3,20,"random",0.8,0.25,0.356453115471603,2.81386599923719,0.872880173907749
3,20,"maximin",0.8125,0.8125,0.7375,2.96595434206175,1.14405137376248
3,20,"dopt",0.75,0.75,0.65,3.54479311658132,1.24251730993779
3,30,"random",1,0.6875,0.781735959970572,2.86071310172485,0.822144187661686
3,30,"maximin",0.88235294117647,0.9375,0.871970082650608,2.81497969138727,0.855371101739577
3,30,"dopt",0.941176470588235,1,0.957938964038696,2.70724703663143,0.793792302294104
3,40,"random",0.9375,0.9375,0.9125,2.6784485238778,0.627936637785485
3,40,"maximin",0.88235294117647,0.9375,0.871970082650608,2.65707286489838,0.72398995055348
3,40,"dopt",0.761904761904762,1,0.816496580927726,2.4862980613591,0.659340460215406
3,60,"random",0.88235294117647,0.9375,0.871970082650608,2.414844160322,0.545718700495936
3,60,"maximin",0.888888888888889,1,0.918936583472681,2.9336793596327,0.842734991934169
3,60,"dopt",0.8,1,0.848528137423857,2.4106037850191,0.508727531018217
