"seed","N","n_eff","strategy","Pr","Re","MCC","CoefL2","JacRMSE"
1,12,12,"random",0.4,0.125,0.0792118034381339,4.75904294713974,0.391721818529562
1,16,16,"random",0.4,0.125,0.0792118034381339,4.40190181345201,0.374964212490386
1,20,20,"random",0.75,0.1875,0.285043856274785,6.20769479898358,0.305321001919606
1,30,30,"random",1,0.25,0.438529009653515,3.80915800445472,0.23968765566087
1,40,40,"random",0.666666666666667,0.25,0.292118697336089,4.41264432550796,0.275545300423471
1,60,60,"random",1,0.5,0.645497224367903,3.80327498401804,0.203610899244457
1,12,12,"maximin",0.75,0.1875,0.285043856274785,5.74053730315762,0.348068571814671
1,16,16,"maximin",1,0.125,0.304290309725092,6.37958985000493,0.329740194898431
1,20,20,"maximin",0.6,0.375,0.324372303540774,8.23127094469977,0.385946412331847
1,30,30,"maximin",1,0.6875,0.781735959970572,5.19458607024795,0.223119745375939
1,40,40,"maximin",0.9,0.5625,0.634000411466058,4.14995270084236,0.188912077008885
1,60,60,"maximin",0.916666666666667,0.6875,0.729388494396214,4.21538499402979,0.171131797674537
1,12,12,"dopt",0.6,0.1875,0.217832459454868,6.42806458805546,0.368267351438879
1,16,16,"dopt",0.5,0.125,0.131558702896054,6.48839679768054,0.329527303026898
1,20,20,"dopt",0.75,0.1875,0.285043856274785,4.53912634764547,0.286884153886494
1,30,30,"dopt",1,0.5625,0.691898406021664,4.25345797923552,0.191083320943663
1,40,40,"dopt",0.8,0.5,0.53079104215763,3.81743125749481,0.220387568110183
1,60,60,"dopt",0.6875,0.6875,0.5625,3.76337448735972,0.174514956986551
2,12,12,"random",0,0,-0.121716123890037,7.93687182282317,0.338726757841897
2,16,16,"random",0,0,-0.175411603861406,6.0090707600515,0.297469892656623
2,20,20,"random",0.25,0.0625,-0.0219264504826757,4.77749400711304,0.278844578588227
2,30,30,"random",0.5,0.125,0.131558702896054,3.95806531024346,0.274270253726753
2,40,40,"random",0.4,0.125,0.0792118034381339,3.61039123618885,0.27815223058375
2,60,60,"random",0.714285714285714,0.3125,0.358568582800318,3.7126807958484,0.220812167191904
2,12,12,"maximin",1,0.125,0.304290309725092,4.45912477195778,0.271355688492795
2,16,16,"maximin",0.6,0.1875,0.217832459454868,4.65646742732668,0.256039265199359
2,20,20,"maximin",0.666666666666667,0.25,0.292118697336089,5.32963364935651,0.296967550787926
2,30,30,"maximin",0.875,0.4375,0.53253521010352,4.60173265741908,0.211556736848953
2,40,40,"maximin",0.909090909090909,0.625,0.682242292337953,4.84526773402251,0.160627863072774
2,60,60,"maximin",0.857142857142857,0.75,0.730296743340222,4.6852280904139,0.136291381519015
2,12,12,"dopt",1,0.0625,0.21320071635561,5.93525877257797,0.304787625727075
2,16,16,"dopt",1,0.0625,0.21320071635561,4.01660708448167,0.273970283481439
2,20,20,"dopt",1,0.3125,0.495073771488337,3.32889606723988,0.220797882063819
2,30,30,"dopt",0.888888888888889,0.5,0.58426976508496,5.2972771850257,0.240487427190716
2,40,40,"dopt",0.888888888888889,0.5,0.58426976508496,4.30941242344521,0.207893838881591
2,60,60,"dopt",1,0.8125,0.869375611279942,3.6840380661163,0.143915344491042
3,12,12,"random",0.5,0.25,0.193649167310371,10.7274682268398,0.552766647779685
3,16,16,"random",0.6,0.1875,0.217832459454868,4.7216461483924,0.335585594441755
3,20,20,"random",1,0.125,0.304290309725092,5.08240624104371,0.299383305306869
3,30,30,"random",0.8,0.25,0.356453115471603,5.1130295621674,0.253852754291775
3,40,40,"random",0.857142857142857,0.375,0.478091443733757,4.02116928940341,0.211670536401713
3,60,60,"random",1,0.4375,0.597614304667197,4.02159215874707,0.209505070248178
3,12,12,"maximin",0.5,0.25,0.193649167310371,7.65498268987469,0.300333196537234
3,16,16,"maximin",0.555555555555556,0.3125,0.261383842274851,6.43476833210296,0.352432311672681
3,20,20,"maximin",0.5,0.125,0.131558702896054,6.7780583384919,0.275549170963159
3,30,30,"maximin",0.857142857142857,0.375,0.478091443733757,4.52090352877217,0.236973440326992
3,40,40,"maximin",0.75,0.5625,0.536719835499101,4.73082948058486,0.208568683424573
3,60,60,"maximin",1,0.8125,0.869375611279942,3.74499033625053,0.107999155525913
3,12,12,"dopt",1,0.0625,0.21320071635561,6.94301667464573,0.282530367420852
3,16,16,"dopt",0,0,0,5.61658729272628,0.288411102004419
3,20,20,"dopt",0.75,0.1875,0.285043856274785,4.87133201853602,0.27489192021389
3,30,30,"dopt",0.833333333333333,0.3125,0.419920627420627,4.52436396563513,0.264613944143477
3,40,40,"dopt",1,0.625,0.737209780774486,4.54721846570302,0.195961052142867
3,60,60,"dopt",0.923076923076923,0.75,0.775750545449794,3.95771831133527,0.154260801300697
4,12,12,"random",0.75,0.1875,0.285043856274785,9.47768200625424,0.63491349010791
4,16,16,"random",0.75,0.1875,0.285043856274785,6.8359060247333,0.382649222329569
4,20,20,"random",0.6,0.1875,0.217832459454868,7.35923624987487,0.374004345477451
4,30,30,"random",1,0.1875,0.376177396931639,4.33518205268005,0.290559590256185
4,40,40,"random",1,0.375,0.547722557505166,3.34482628791611,0.205930516602769
4,60,60,"random",1,0.375,0.547722557505166,3.52400405630228,0.210184076837719
4,12,12,"maximin",0.5,0.125,0.131558702896054,5.67819937812226,0.292220512006709
4,16,16,"maximin",0.666666666666667,0.125,0.200627945030208,6.40949657543192,0.299353083065402
4,20,20,"maximin",1,0.125,0.304290309725092,5.90993985122443,0.282770405783417
