"seed","N","n_eff","strategy","Pr","Re","MCC","CoefL2","JacRMSE"
1,12,12,"random",0.5,0.125,0.131558702896054,5.35419039241235,0.417926784188735
1,16,16,"random",0.5,0.3125,0.221162934232346,7.5765579264573,0.394950061104936
1,20,20,"random",0.666666666666667,0.125,0.200627945030208,3.96630750322858,0.302666310446589
1,30,30,"random",1,0.3125,0.495073771488337,4.20465973735282,0.222851576670134
1,40,40,"random",1,0.4375,0.597614304667197,4.10585692295347,0.204095152190341
1,60,60,"random",1,0.625,0.737209780774486,4.11978002137329,0.229219351746024
1,12,12,"maximin",0.666666666666667,0.375,0.369012483211554,9.11724561830279,0.493643928288675
1,16,16,"maximin",1,0.25,0.438529009653515,5.56981951042401,0.251015053948187
1,20,20,"maximin",1,0.25,0.438529009653515,5.59217073800236,0.29923978540315
1,30,29,"maximin",0.888888888888889,0.5,0.58426976508496,4.85682220564518,0.241353152273944
1,40,39,"maximin",1,0.625,0.737209780774486,4.09192277977375,0.154624059324938
1,60,59,"maximin",0.846153846153846,0.6875,0.682125479619647,3.71523201325732,0.160490751630831
1,12,12,"dopt",1,0.0625,0.21320071635561,4.45009696082728,0.359237379583831
1,16,16,"dopt",0.666666666666667,0.375,0.369012483211554,5.74452727668358,0.362002447238908
1,20,20,"dopt",1,0.4375,0.597614304667197,3.9234883688555,0.189791356529388
1,30,29,"dopt",1,0.375,0.547722557505166,3.6069908136341,0.189815986918006
1,40,38,"dopt",1,0.3125,0.495073771488337,3.67243024550953,0.211009521210953
1,60,57,"dopt",0.9,0.5625,0.634000411466058,3.84324177023229,0.189891913994674
2,12,12,"random",0,0,-0.121716123890037,8.80998895220503,0.361079542183132
2,16,16,"random",0.4,0.125,0.0792118034381339,6.41099270974793,0.310530517735781
2,20,20,"random",0.4,0.125,0.0792118034381339,5.80630645790101,0.308889299961104
2,30,30,"random",0.666666666666667,0.25,0.292118697336089,4.18920969865037,0.303878733141315
2,40,40,"random",0.5,0.1875,0.16431676725155,3.57174192446296,0.302061261486289
2,60,60,"random",0.777777777777778,0.4375,0.476641124148257,3.19955250275832,0.214915163052046
2,12,12,"maximin",1,0.0625,0.21320071635561,3.57928644721213,0.318158795976707
2,16,16,"maximin",0.5,0.125,0.131558702896054,4.7533688764676,0.315151931005305
2,20,20,"maximin",0.666666666666667,0.25,0.292118697336089,6.16305099613634,0.295965083886551
2,30,30,"maximin",0.923076923076923,0.75,0.775750545449794,4.93101671564432,0.160657611109968
2,40,40,"maximin",0.846153846153846,0.6875,0.682125479619647,5.20737708514153,0.142030480434796
2,60,60,"maximin",0.823529411764706,0.875,0.78600120126252,4.95919752757003,0.0956410267650616
2,12,12,"dopt",0,0,0,4.28938090594125,0.326224292289704
2,16,16,"dopt",0.666666666666667,0.25,0.292118697336089,4.62539694029812,0.25403246701226
2,20,20,"dopt",1,0.1875,0.376177396931639,3.99977344784987,0.262760003311898
2,30,30,"dopt",0.818181818181818,0.5625,0.582748624705335,3.49637620685787,0.180474317501126
2,40,40,"dopt",0.833333333333333,0.625,0.633054164947657,3.91913893582197,0.165279856562334
