"seed","N_eff","ss_maxdiff","Pr","Re","MCC","CoefL2"
1,200,4.44089209850063e-16,0.842105263157895,1,0.882579950158088,0.752530804290855
2,200,4.44089209850063e-16,0.9375,0.9375,0.9125,1.16902344715014
3,200,4.44089209850063e-16,1,1,1,0.732420551818866
4,200,6.66133814775094e-16,1,1,1,0.987576296252927
5,200,4.44089209850063e-16,1,1,1,1.03000166860556
6,200,3.33066907387547e-16,0.88235294117647,0.9375,0.871970082650608,0.93861770138152
7,200,3.33066907387547e-16,0.833333333333333,0.9375,0.834297687626513,0.756654868752832
8,200,3.33066907387547e-16,0.833333333333333,0.9375,0.834297687626513,0.881209188702398
9,200,3.33066907387547e-16,0.842105263157895,1,0.882579950158088,0.914931518953602
10,200,4.44089209850063e-16,0.888888888888889,1,0.918936583472681,0.934181465520773
